iter	Passed	Remaining
141	1289	7793
142	1296	7772
143	1305	7757
144	1312	7736
145	1320	7723
146	1327	7705
147	1335	7690
148	1344	7676
149	1353	7667
150	1362	7658
151	1370	7647
152	1378	7629
153	1387	7619
154	1394	7604
155	1404	7599
156	1412	7586
157	1422	7582
158	1432	7574
159	1440	7560
160	1448	7547
161	1456	7534
162	1464	7517
163	1472	7504
164	1478	7483
165	1486	7469
166	1494	7452
167	1503	7445
168	1512	7434
169	1520	7424
170	1528	7411
171	1536	7396
172	1543	7380
173	1551	7367
174	1559	7352
175	1569	7347
176	1576	7330
177	1585	7321
178	1593	7307
179	1602	7298
180	1610	7287
181	1622	7290
182	1631	7282
183	1638	7266
184	1646	7255
185	1655	7246
186	1665	7241
187	1675	7235
188	1685	7230
189	1695	7228
190	1704	7220
191	1713	7211
192	1720	7195
193	1729	7184
194	1736	7167
195	1744	7156
196	1752	7142
197	1760	7129
198	1768	7117
199	1775	7102
200	1782	7086
201	1790	7072
202	1798	7059
203	1805	7044
204	1814	7036
205	1821	7020
206	1831	7016
207	1839	7005
208	1849	6999
209	1859	6995
210	1867	6982
211	1875	6972
212	1883	6957
213	1889	6941
214	1898	6933
215	1906	6921
216	1916	6916
217	1925	6907
218	1933	6896
219	1943	6891
220	1951	6880
221	1961	6874
222	1969	6861
223	1977	6851
224	1987	6845
225	1996	6837
226	2003	6821
227	2012	6814
228	2021	6806
229	2031	6802
230	2043	6802
231	2051	6790
232	2061	6784
233	2070	6776
234	2080	6773
235	2088	6760
236	2097	6752
237	2109	6755
238	2122	6757
239	2130	6747
240	2139	6737
241	2147	6726
242	2156	6717
243	2164	6707
244	2174	6699
245	2182	6688
246	2191	6682
247	2199	6669
248	2207	6658
249	2215	6645
250	2225	6641
251	2233	6630
252	2244	6626
253	2253	6618
254	2263	6612
255	2272	6605
256	2280	6593
257	2291	6589
258	2298	6575
259	2308	6571
260	2321	6572
261	2330	6564
262	2341	6560
263	2351	6554
264	2359	6544
265	2369	6538
266	2378	6529
267	2388	6524
268	2395	6510
269	2405	6502
270	2412	6488
271	2421	6480
272	2428	6468
273	2438	6461
274	2448	6454
275	2455	6442
276	2464	6431
277	2472	6421
278	2484	6420
279	2493	6411
280	2502	6403
281	2509	6390
282	2518	6380
283	2526	6370
284	2535	6360
285	2544	6351
286	2555	6348
287	2564	6340
288	2573	6331
289	2582	6322
290	2590	6311
291	2599	6301
292	2606	6290
293	2615	6280
294	2623	6269
295	2632	6261
296	2642	6254
297	2653	6250
298	2662	6242
299	2670	6232
300	2679	6221
301	2687	6211
302	2696	6203
303	2705	6193
304	2715	6186
305	2722	6175
306	2731	6165
307	2739	6154
308	2748	6146
309	2755	6133
310	2764	6123
311	2772	6112
312	2780	6102
313	2787	6089
314	2795	6078
315	2802	6065
316	2809	6053
317	2817	6042
318	2825	6031
319	2833	6021
320	2842	6012
321	2851	6004
322	2859	5993
323	2866	5980
324	2873	5968
325	2882	5958
326	2889	5947
327	2897	5936
328	2904	5923
329	2914	5916
330	2920	5903
331	2929	5894
332	2936	5882
333	2945	5872
334	2953	5862
335	2960	5851
336	2968	5840
337	2976	5830
338	2984	5818
339	2992	5809
340	2999	5797
341	3007	5786
342	3015	5775
343	3022	5764
344	3030	5753
345	3040	5746
346	3048	5737
347	3057	5728
348	3065	5717
349	3073	5708
350	3082	5698
351	3089	5687
352	3098	5679
353	3107	5670
354	3115	5660
355	3123	5650
356	3130	5638
357	3138	5628
358	3146	5617
359	3154	5607
360	3161	5596
361	3170	5587
362	3177	5576
363	3184	5564
364	3192	5554
365	3199	5542
366	3207	5531
367	3213	5519
368	3222	5509
369	3228	5497
370	3236	5487
371	3245	5478
372	3253	5468
373	3262	5460
374	3270	5450
375	3277	5439
376	3285	5429
377	3292	5418
378	3300	5408
379	3308	5397
380	3315	5386
381	3323	5376
382	3330	5365
383	3339	5357
384	3346	5345
385	3355	5336
386	3361	5325
387	3371	5317
388	3378	5307
389	3388	5299
390	3395	5289
391	3405	5281
392	3412	5271
393	3421	5262
394	3428	5251
395	3438	5244
396	3447	5237
397	3456	5228
398	3466	5221
399	3474	5211
400	3486	5207
401	3493	5196
402	3501	5187
403	3509	5176
404	3517	5167
405	3524	5156
406	3532	5147
407	3539	5136
408	3547	5126
409	3556	5117
410	3563	5107
411	3571	5096
412	3580	5088
413	3587	5077
414	3595	5068
415	3603	5059
416	3611	5049
417	3619	5039
418	3626	5027
419	3634	5018
420	3641	5007
421	3651	5000
422	3658	4990
423	3667	4982
424	3675	4972
425	3683	4963
426	3690	4952
427	3699	4943
428	3705	4932
429	3713	4922
430	3720	4911
431	3728	4901
432	3735	4891
433	3743	4882
434	3750	4871
435	3757	4861
436	3765	4851
437	3772	4841
438	3782	4833
439	3791	4824
440	3799	4815
441	3807	4807
442	3815	4797
443	3822	4786
444	3830	4777
445	3838	4767
446	3846	4758
447	3854	4749
448	3864	4742
449	3872	4733
450	3880	4724
451	3887	4713
452	3896	4705
453	3903	4694
454	3912	4686
455	3919	4675
456	3927	4666
457	3934	4656
458	3942	4647
459	3949	4636
460	3957	4627
461	3964	4616
462	3972	4607
463	3979	4597
464	3987	4587
465	3994	4577
466	4002	4567
467	4011	4559
468	4019	4550
469	4027	4541
470	4034	4530
471	4043	4522
472	4051	4513
473	4060	4505
474	4069	4497
475	4077	4488
476	4085	4479
477	4093	4470
478	4099	4459
479	4108	4450
480	4116	4441
481	4125	4433
482	4133	4424
483	4142	4416
484	4149	4406
485	4158	4398
486	4165	4387
487	4173	4378
488	4181	4369
489	4190	4361
490	4196	4350
491	4205	4342
492	4212	4332
493	4220	4323
494	4227	4313
495	4236	4304
496	4243	4294
497	4251	4285
498	4258	4275
499	4267	4267
500	4276	4259
501	4284	4250
502	4292	4241
503	4300	4232
504	4307	4222
505	4315	4213
506	4323	4204
507	4330	4193
508	4338	4185
509	4346	4175
510	4354	4167
511	4361	4157
512	4370	4148
513	4377	4138
514	4385	4130
515	4392	4120
516	4400	4111
517	4408	4101
518	4415	4092
519	4422	4082
520	4429	4072
521	4437	4063
522	4443	4053
523	4452	4044
524	4461	4036
525	4470	4028
526	4479	4020
527	4487	4011
528	4493	4001
529	4502	3992
530	4509	3982
531	4518	3974
532	4525	3965
533	4533	3956
534	4541	3947
535	4550	3939
536	4558	3930
537	4566	3921
538	4573	3911
539	4581	3902
540	4587	3892
541	4595	3883
542	4603	3874
543	4611	3865
544	4618	3856
545	4626	3847
546	4635	3838
547	4643	3830
548	4652	3822
549	4661	3813
550	4670	3805
551	4679	3798
552	4687	3789
553	4695	3780
554	4703	3771
555	4711	3762
556	4718	3752
557	4726	3743
558	4733	3734
559	4741	3725
560	4749	3716
561	4758	3708
562	4766	3699
563	4772	3689
564	4781	3681
565	4788	3672
566	4797	3663
567	4804	3654
568	4812	3645
569	4819	3635
570	4827	3627
571	4835	3617
572	4843	3609
573	4851	3600
574	4860	3592
575	4868	3584
576	4877	3575
577	4885	3566
578	4892	3557
579	4899	3548
580	4907	3539
581	4915	3530
582	4923	3521
583	4930	3512
584	4937	3502
585	4945	3494
586	4952	3484
587	4961	3476
588	4968	3467
589	4976	3458
590	4983	3448
591	4990	3439
592	4998	3430
593	5005	3421
594	5012	3412
595	5022	3404
596	5029	3395
597	5037	3386
598	5045	3377
599	5054	3369
600	5063	3361
601	5072	3353
602	5082	3346
603	5091	3337
604	5098	3328
605	5105	3319
606	5113	3310
607	5121	3301
608	5129	3293
609	5136	3284
610	5145	3275
611	5151	3266
612	5160	3257
613	5169	3249
614	5177	3240
615	5184	3231
616	5193	3223
617	5199	3214
618	5207	3205
619	5214	3196
620	5222	3187
621	5230	3178
622	5238	3169
623	5245	3160
624	5252	3151
625	5260	3142
626	5269	3134
627	5277	3126
628	5286	3117
629	5294	3109
630	5302	3100
631	5309	3091
632	5317	3083
633	5325	3074
634	5334	3066
635	5342	3057
636	5350	3048
637	5357	3039
638	5365	3031
639	5373	3022
640	5380	3013
641	5387	3004
642	5394	2995
643	5402	2986
644	5409	2977
645	5418	2969
646	5426	2960
647	5435	2952
648	5444	2944
649	5453	2936
650	5460	2927
651	5469	2919
652	5477	2910
653	5487	2903
654	5497	2895
655	5504	2886
656	5512	2877
657	5520	2869
658	5527	2860
659	5539	2853
660	5549	2846
661	5556	2837
662	5565	2828
663	5572	2819
664	5580	2811
665	5589	2802
666	5598	2795
667	5606	2786
668	5615	2778
669	5622	2769
670	5631	2761
671	5639	2752
672	5647	2744
673	5655	2735
674	5664	2727
675	5676	2720
676	5686	2713
677	5696	2705
678	5704	2697
679	5714	2688
680	5721	2680
681	5731	2672
682	5739	2663
683	5749	2656
684	5758	2648
685	5767	2640
686	5777	2632
687	5786	2623
688	5795	2615
689	5804	2607
690	5813	2599
691	5823	2591
692	5834	2584
693	5843	2576
694	5852	2568
695	5862	2560
696	5872	2552
697	5883	2545
698	5896	2539
699	5906	2531
700	5916	2523
701	5927	2516
702	5936	2508
703	5947	2500
704	5956	2492
705	5967	2484
706	5977	2477
707	5987	2469
708	5998	2461
709	6009	2454
710	6019	2446
711	6030	2439
712	6042	2432
713	6053	2424
714	6063	2416
715	6074	2409
716	6084	2401
717	6096	2394
718	6108	2387
719	6120	2380
720	6130	2372
721	6141	2364
722	6152	2356
723	6161	2348
724	6173	2341
725	6183	2333
726	6195	2326
727	6208	2319
728	6219	2311
729	6230	2304
730	6241	2296
731	6252	2289
732	6262	2281
733	6273	2273
734	6285	2266
735	6297	2258
736	6309	2251
737	6321	2244
738	6332	2236
739	6342	2228
740	6353	2220
741	6362	2212
742	6374	2204
743	6384	2196
744	6395	2189
745	6406	2181
746	6417	2173
747	6427	2165
748	6442	2158
749	6466	2155
750	6485	2150
751	6501	2144
752	6513	2136
753	6524	2128
754	6536	2121
755	6548	2113
756	6558	2105
757	6570	2097
758	6581	2089
759	6591	2081
760	6603	2073
761	6614	2065
762	6624	2057
763	6636	2049
764	6647	2041
765	6657	2033
766	6669	2026
767	6680	2018
768	6693	2010
769	6705	2003
770	6717	1995
771	6730	1987
772	6741	1979
773	6752	1971
774	6764	1963
775	6776	1956
776	6787	1947
777	6798	1940
778	6809	1931
779	6821	1923
780	6832	1915
781	6843	1907
782	6854	1899
783	6867	1892
784	6878	1883
785	6888	1875
786	6902	1868
787	6915	1860
788	6927	1852
789	6938	1844
790	6950	1836
791	6961	1828
792	6972	1820
793	6983	1811
794	6994	1803
795	7006	1795
796	7018	1787
797	7031	1779
798	7042	1771
799	7054	1763
800	7066	1755
801	7078	1747
802	7088	1738
803	7098	1730
804	7111	1722
805	7125	1715
806	7137	1706
807	7147	1698
808	7158	1690
809	7169	1681
810	7180	1673
811	7191	1664
812	7202	1656
813	7213	1648
814	7225	1640
815	7237	1631
816	7249	1623
817	7260	1615
818	7271	1606
819	7281	1598
820	7292	1589
821	7302	1581
822	7318	1573
823	7332	1566
824	7344	1557
825	7356	1549
826	7369	1541
827	7380	1533
828	7392	1524
829	7405	1516
830	7425	1510
831	7439	1502
832	7451	1493
833	7464	1485
834	7477	1477
835	7491	1469
836	7505	1461
837	7520	1453
838	7537	1446
839	7551	1438
840	7564	1430
841	7576	1421
842	7588	1413
843	7600	1404
844	7611	1396
845	7622	1387
846	7634	1379
847	7646	1370
848	7656	1361
849	7668	1353
850	7679	1344
851	7690	1335
852	7702	1327
853	7714	1318
854	7726	1310
855	7739	1302
856	7751	1293
857	7763	1284
858	7776	1276
859	7787	1267
860	7799	1259
861	7814	1251
862	7828	1242
863	7840	1234
864	7853	1225
865	7865	1216
866	7876	1208
867	7888	1199
868	7900	1190
869	7911	1182
870	7921	1173
871	7935	1164
872	7949	1156
873	7960	1147
874	7971	1138
875	7984	1130
876	7996	1121
877	8009	1112
878	8021	1104
879	8033	1095
880	8046	1086
881	8059	1078
882	8068	1069
883	8080	1060
884	8092	1051
885	8102	1042
886	8113	1033
887	8126	1024
888	8138	1016
889	8151	1007
890	8164	998
891	8176	990
892	8189	981
893	8202	972
894	8213	963
895	8225	954
896	8236	945
897	8248	936
898	8260	928
899	8271	919
900	8284	910
901	8297	901
902	8310	892
903	8322	883
904	8333	874
905	8345	865
906	8360	857
907	8371	848
908	8383	839
909	8394	830
910	8407	821
911	8418	812
912	8429	803
913	8440	794
914	8451	785
915	8463	776
916	8475	767
917	8486	758
918	8497	748
919	8509	739
920	8519	730
921	8531	721
922	8542	712
923	8555	703
924	8569	694
925	8580	685
926	8591	676
927	8602	667
928	8614	658
929	8624	649
930	8636	640
931	8647	630
932	8657	621
933	8669	612
934	8680	603
935	8691	594
936	8702	585
937	8714	576
938	8724	566
939	8735	557
940	8747	548
941	8761	539
942	8778	530
943	8789	521
944	8801	512
945	8816	503
946	8829	494
947	8839	484
948	8851	475
949	8863	466
950	8874	457
951	8886	448
952	8897	438
953	8909	429
954	8920	420
955	8931	411
956	8943	401
957	8953	392
958	8967	383
959	8980	374
960	8991	364
961	9002	355
962	9014	346
963	9027	337
964	9038	327
965	9051	318
966	9063	309
967	9075	300
968	9085	290
969	9098	281
970	9110	272
971	9122	262
972	9133	253
973	9144	244
974	9155	234
975	9167	225
976	9184	216
977	9197	206
978	9209	197
979	9220	188
980	9231	178
981	9242	169
982	9254	160
983	9266	150
984	9277	141
985	9288	131
986	9300	122
987	9312	113
988	9323	103
989	9338	94
990	9352	84
991	9363	75
992	9377	66
993	9395	56
994	9407	47
995	9417	37
996	9428	28
997	9440	18
998	9452	9
999	9462	0
