iter	MultiClass
0	1.654683174
1	1.476388324
2	1.346053228
3	1.240054316
4	1.146728875
5	1.067981155
6	1.002610504
7	0.9426092487
8	0.8949181261
9	0.8554050957
10	0.8179587199
11	0.7864196758
12	0.7547339571
13	0.7271921447
14	0.697053069
15	0.6717047664
16	0.6481692554
17	0.6262282409
18	0.6059954613
19	0.5884554514
20	0.5740802417
21	0.5604176086
22	0.5465786557
23	0.535544332
24	0.5269099277
25	0.5181454876
26	0.5093702516
27	0.4991814423
28	0.4908466883
29	0.4830619346
30	0.4751972186
31	0.4689740923
32	0.4635694487
33	0.4573734775
34	0.4516652098
35	0.4467559579
36	0.4425443489
37	0.4382697346
38	0.4337507252
39	0.4287335332
40	0.4235169298
41	0.4201466693
42	0.4152654596
43	0.4127166715
44	0.4095478471
45	0.4066163346
46	0.4041541305
47	0.4015855506
48	0.3965835368
49	0.3936387738
50	0.3908703674
51	0.3876037518
52	0.3845646639
53	0.3823448344
54	0.3803914147
55	0.3779920524
56	0.3755364998
57	0.3734325873
58	0.3717415042
59	0.3697732431
60	0.367459143
61	0.3654957836
62	0.3639037247
63	0.3617294144
64	0.3594230719
65	0.3575304696
66	0.355150906
67	0.3533920322
68	0.3518550279
69	0.3499197233
70	0.3490059703
71	0.3473328295
72	0.3462190441
73	0.344998339
74	0.3436018336
75	0.3427300046
76	0.3413183031
77	0.3404882867
78	0.3391423273
79	0.3382733788
80	0.3366933766
81	0.3357165153
82	0.3350335111
83	0.3339719149
84	0.3331187074
85	0.3323169222
86	0.3307338448
87	0.3293569589
88	0.3283334124
89	0.3276024826
90	0.3263493414
91	0.3254229173
92	0.3242876387
93	0.3232756842
94	0.3224288002
95	0.3216340583
96	0.3208795739
97	0.3203112634
98	0.3196339296
99	0.3185410403
100	0.3177528766
101	0.3169630006
102	0.3166562081
103	0.3155120931
104	0.3147073493
105	0.3138079745
106	0.31290488
107	0.3120353842
108	0.3113364465
109	0.3104227006
110	0.3095984036
111	0.3088596473
112	0.308166331
113	0.3070603631
114	0.3064520354
115	0.3058579098
116	0.305121339
117	0.304277199
118	0.3035847196
119	0.3032414707
120	0.3023460023
121	0.3014796012
122	0.3007334722
123	0.3002699587
124	0.2997807367
125	0.2993672941
126	0.2987393129
127	0.2982665841
128	0.2975814881
129	0.2969891423
130	0.2965634558
131	0.2959504406
132	0.2949429208
133	0.294039711
134	0.2932853714
135	0.2925141963
136	0.2917240241
137	0.2913694041
138	0.2910212907
139	0.2904909543
140	0.290017026
141	0.2896345867
